district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
中山區,建物,臺北市中山區中山北路二段45巷1~30號,0.0,商,1031031,土地0建物1車位0,四層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,661026.0,187.33,0,0,0,無,無,無,56000,299.0,,0.0,0,,RPSNMLLJJIJFFCA07CC,25.0545318,121.5230594
信義區,房地(土地+建物),臺北市信義區莊敬路271~300號,21.57,其他,1031011,土地1建物1車位0,一層,7.0,店面(店鋪),商業用,鋼筋混凝土造,700907.0,105.77,0,0,1,有,有,無,50000,473.0,,0.0,0,,RPSNMLLJJIJFFDA17CC,25.0290837,121.5628576
大同區,建物,臺北市大同區南京西路18巷1~30號,0.0,商,1031031,土地0建物2車位0,一層,4.0,店面(店鋪),,加強磚造,,116.76,0,0,0,無,無,無,145600,1247.0,,0.0,0,,RPQNMLLJJIJFFBA76CC,25.05117,121.520123
大同區,建物,臺北市大同區市民大道一段181~210號,9.27,其他,1031027,土地0建物1車位0,七層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724.0,47.19000000000001,0,0,1,有,有,有,24000,509.0,,0.0,0,,RPRNMLLJJIJFFBA86CC,25.048493,121.5187377
士林區,建物,臺北市士林區中山北路六段157巷1~30號,0.0,工,1031030,土地0建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,971002.0,166.32,3,1,1,有,有,有,65675,395.0,坡道平面,0.0,0,,RPRNMLLJJIJFFEA17CC,25.1067274,121.5247651
大安區,建物,臺北市大安區通化街241~30號,0.0,商,1031027,土地0建物1車位0,一層,5.0,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,,121.84,2,0,1,有,無,有,76000,624.0,,0.0,0,,RPPNMLLJJIJFFFA07CC,25.0258269,121.553216
大安區,建物,臺北市大安區忠孝東路四段223巷71弄1~30號,0.0,住,1031030,土地0建物1車位0,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,751229.0,130.89,3,2,2,有,有,有,42000,321.0,,0.0,0,,RPRNMLLJJIJFFFA27CC,25.04404,121.552707
大安區,建物,臺北市大安區和平東路三段121~150號,116.81,商,1031017,土地0建物1車位0,四層,12.0,辦公商業大樓,商業用,鋼筋混凝土造,691117.0,116.81,2,1,1,有,有,無,37000,317.0,,0.0,0,,RPVNMLNJJIJFFFA87CC,25.0246281,121.5516898
大安區,建物,臺北市大安區信義路三段134巷1~30號,0.0,住,1031030,土地0建物1車位0,四層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,610908.0,122.66,3,2,2,有,有,有,33000,269.0,,0.0,0,,RPPOMLNJJIJFFFA37CC,25.0292693,121.5395725
大安區,建物,臺北市大安區大安路一段181~210號,0.0,住,1031031,土地0建物1車位0,三層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971028.0,33.48,1,1,1,有,有,有,25000,747.0,,0.0,0,,RPQOMLNJJIJFFFA47CC,25.0363155,121.5461729
中山區,房地(土地+建物),臺北市中山區中山北路一段121~150號,145.0,商,1030903,土地2建物1車位0,全,4.0,透天厝,,加強磚造,,485.84,1,4,1,有,無,有,600000,1235.0,,0.0,0,,RPVOMLNJJIJFFCA77DC,25.051347,121.522657
中正區,房地(土地+建物),臺北市中正區重慶南路一段31~60號,333.38,商,1031101,土地1建物1車位0,三層,4.0,公寓(5樓含以下無電梯),,加強磚造,,166.69,1,1,1,有,無,有,35000,210.0,,0.0,0,,RPSNMLNJJIJFFBA17CC,25.045451,121.513395
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,1031031,土地0建物1車位0,十四層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724.0,71.75,2,1,1,有,有,有,36000,502.0,,0.0,0,,RPQOMLNJJIJFFBA07CC,25.048493,121.5187377
中正區,建物,臺北市中正區金山南路一段121~150號,0.0,住,1031003,土地0建物1車位0,地下一層,7.0,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,691105.0,172.43,0,1,1,有,無,有,35000,203.0,,0.0,0,,RPWOMLNJJIJFFBA67CC,25.0360636,121.5278554
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段91巷16弄1~30號,0.0,住,1031102,土地1建物1車位1,二層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,881206.0,142.6,3,2,2,有,有,有,24000,168.0,坡道平面,36.78,0,,RPWNMLNJJIJFFDA77CC,25.0410478,121.619879
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,住,1031020,土地0建物1車位0,十層,17.0,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,820514.0,86.57000000000002,0,0,0,無,無,有,28889,334.0,,0.0,0,,RPUOMLNJJIJFFDA67CC,25.041004,121.577475
中山區,建物,臺北市中山區松江路361~390號,0.0,,1031101,土地0建物1車位0,五層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,800412.0,95.53,0,0,0,無,無,無,25000,262.0,,0.0,0,,RPUNMLNJJIJFFCA47CC,25.0636359,121.533545
中山區,建物,臺北市中山區民生東路一段1~30號,0.0,商,1031031,土地0建物1車位0,十二層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,951012.0,65.26,1,1,1,有,有,有,40000,613.0,,0.0,0,,RPXOMLNJJIJFFCA87CC,25.0582153,121.524294
中山區,建物,臺北市中山區雙城街13巷1~30號,0.0,商,1031023,土地0建物1車位0,七層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021231.0,66.59,1,1,1,有,有,有,38500,578.0,,0.0,0,,RPPPMLNJJIJFFCA17CC,25.06417,121.5245646
內湖區,建物,臺北市內湖區安美街181~210號,0.0,工,1031028,土地0建物0車位5,一層,6.0,廠辦,工業用,見其他登記事項,950713.0,775.3399999999998,0,0,0,無,有,無,185225,239.0,坡道平面,0.0,12500,售價包含裝潢或家電。;承租一樓部分235坪(含公設)及地下二樓5個車位。租賃標的清冊-建物不含車位，且無法區分車位面積。,RPSPMLNJJIJFFCA47CC,25.0601572,121.6012437
